Type,Mean,Min,Max
Mean Values,0.811942994594574,0.811942994594574,0.811942994594574
Min Values,0.526010274887085,0.526010274887085,0.526010274887085
Max Values,0.9999869465827942,0.9999869465827942,0.9999869465827942
