Type,carla,vlp32
em.points,57869.0,57600.0
det. points,55081.0,54846.0
loss,0.04817778084985047,0.047812500000000036
min dist,2.1189277172088623,0.797902524471283
max dist,99.7372055053711,100.92045593261719
