Type,Mean,Min,Max
Mean Values,-8.980433146158854e-06,-0.00079345703125,2.86102294921875e-05
Min Values,-0.008846978346506754,-0.01685166358947754,-0.0039048194885253906
Max Values,0.00013173421223958333,-0.01282501220703125,0.0165863037109375
