Measurement,Mean,Min,Max
Points Per PCL,54846.0,54846.0,54846.0
Distances Mean Values,26.091825453440347,26.091821670532227,26.091825485229492
Distances Min Values,0.797902524471283,0.797902524471283,0.797902524471283
Distances Max Values,100.92045593261719,100.92045593261719,100.92045593261719
Intensities Mean Values,0.8537835478782654,0.8537835478782654,0.8537835478782654
Intensities Min Values,0.610880434513092,0.610880434513092,0.610880434513092
Intensities Max Values,0.9999996423721313,0.9999996423721313,0.9999996423721313
