similar,lost,noise
26725.0,850.0,124.0
26719.0,856.0,136.0
26756.0,819.0,127.0
26706.0,869.0,130.0
26713.0,862.0,126.0
26721.0,854.0,131.0
26731.0,844.0,116.0
26720.0,855.0,129.0
26720.0,855.0,127.0
26720.0,855.0,131.0
26735.0,840.0,124.0
26729.0,846.0,125.0
26697.0,878.0,141.0
26710.0,865.0,141.0
26726.0,849.0,122.0
26710.0,865.0,119.0
26752.0,823.0,111.0
26716.0,859.0,127.0
26706.0,869.0,135.0
26709.0,866.0,123.0
26741.0,834.0,119.0
26727.0,848.0,122.0
26732.0,843.0,134.0
26713.0,862.0,109.0
26699.0,876.0,120.0
26716.0,859.0,114.0
26711.0,864.0,123.0
26722.0,853.0,111.0
26742.0,833.0,116.0
26724.0,851.0,140.0
26727.0,848.0,105.0
26699.0,876.0,126.0
26716.0,859.0,138.0
26713.0,862.0,131.0
26712.0,863.0,134.0
26711.0,864.0,124.0
26737.0,838.0,140.0
26734.0,841.0,127.0
26717.0,858.0,137.0
26716.0,859.0,135.0
26751.0,824.0,115.0
26745.0,830.0,135.0
26720.0,855.0,124.0
26733.0,842.0,114.0
26729.0,846.0,134.0
26723.0,852.0,120.0
26708.0,867.0,130.0
26709.0,866.0,133.0
26719.0,856.0,139.0
26728.0,847.0,133.0
26729.0,846.0,117.0
26714.0,861.0,136.0
26744.0,831.0,130.0
26718.0,857.0,117.0
26697.0,878.0,148.0
26719.0,856.0,123.0
26749.0,826.0,113.0
26727.0,848.0,129.0
26734.0,841.0,130.0
26720.0,855.0,126.0
26718.0,857.0,109.0
26740.0,835.0,123.0
26728.0,847.0,141.0
26731.0,844.0,122.0
26734.0,841.0,123.0
26703.0,872.0,128.0
26740.0,835.0,112.0
26714.0,861.0,118.0
26690.0,885.0,146.0
26716.0,859.0,130.0
26725.0,850.0,119.0
26741.0,834.0,101.0
26733.0,842.0,120.0
26733.0,842.0,114.0
26713.0,862.0,120.0
26734.0,841.0,117.0
26718.0,857.0,116.0
26735.0,840.0,119.0
26710.0,865.0,125.0
26718.0,857.0,144.0
26724.0,851.0,140.0
26720.0,855.0,142.0
26750.0,825.0,127.0
26708.0,867.0,122.0
26744.0,831.0,144.0
26707.0,868.0,132.0
26714.0,861.0,135.0
26713.0,862.0,113.0
26707.0,868.0,146.0
26720.0,855.0,123.0
26705.0,870.0,133.0
26727.0,848.0,123.0
26719.0,856.0,121.0
26748.0,827.0,127.0
26744.0,831.0,120.0
26727.0,848.0,119.0
26719.0,856.0,142.0
26737.0,838.0,108.0
26736.0,839.0,115.0
26732.0,843.0,122.0
26734.0,841.0,125.0
26729.0,846.0,121.0
26715.0,860.0,130.0
26704.0,871.0,112.0
26723.0,852.0,119.0
26717.0,858.0,131.0
26731.0,844.0,141.0
26696.0,879.0,140.0
26715.0,860.0,119.0
26712.0,863.0,118.0
26700.0,875.0,136.0
26714.0,861.0,102.0
26715.0,860.0,116.0
26728.0,847.0,124.0
26736.0,839.0,121.0
26733.0,842.0,117.0
26709.0,866.0,127.0
26742.0,833.0,135.0
26736.0,839.0,111.0
26716.0,859.0,138.0
26718.0,857.0,118.0
