similar,lost,noise
27573.0,2.0,4.0
27575.0,0.0,0.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27572.0,3.0,3.0
27574.0,1.0,1.0
27574.0,1.0,3.0
27571.0,4.0,5.0
27573.0,2.0,2.0
27575.0,0.0,0.0
27574.0,1.0,3.0
27574.0,1.0,3.0
27575.0,0.0,2.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27574.0,1.0,2.0
27574.0,1.0,2.0
27575.0,0.0,0.0
27574.0,1.0,2.0
27574.0,1.0,1.0
27573.0,2.0,2.0
27575.0,0.0,1.0
27573.0,2.0,2.0
27572.0,3.0,4.0
27575.0,0.0,1.0
27571.0,4.0,4.0
27574.0,1.0,1.0
27573.0,2.0,2.0
27573.0,2.0,3.0
27574.0,1.0,4.0
27574.0,1.0,1.0
27571.0,4.0,5.0
27574.0,1.0,3.0
27574.0,1.0,1.0
27575.0,0.0,1.0
27574.0,1.0,1.0
27574.0,1.0,1.0
27573.0,2.0,3.0
27575.0,0.0,0.0
27572.0,3.0,5.0
27574.0,1.0,2.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,1.0
27574.0,1.0,1.0
27574.0,1.0,2.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27574.0,1.0,2.0
27573.0,2.0,2.0
27574.0,1.0,1.0
27573.0,2.0,2.0
27574.0,1.0,1.0
27575.0,0.0,1.0
27574.0,1.0,3.0
27572.0,3.0,3.0
27573.0,2.0,2.0
27574.0,1.0,3.0
27572.0,3.0,3.0
27574.0,1.0,1.0
27575.0,0.0,1.0
27574.0,1.0,1.0
27573.0,2.0,2.0
27574.0,1.0,1.0
27572.0,3.0,4.0
27574.0,1.0,2.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27573.0,2.0,3.0
27575.0,0.0,1.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27574.0,1.0,2.0
27574.0,1.0,2.0
27575.0,0.0,0.0
27574.0,1.0,2.0
27575.0,0.0,1.0
27575.0,0.0,0.0
27573.0,2.0,2.0
27573.0,2.0,2.0
27573.0,2.0,3.0
27575.0,0.0,0.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27573.0,2.0,2.0
27574.0,1.0,1.0
27573.0,2.0,2.0
27573.0,2.0,3.0
27575.0,0.0,1.0
27574.0,1.0,2.0
27573.0,2.0,2.0
27574.0,1.0,1.0
27574.0,1.0,1.0
27574.0,1.0,1.0
27573.0,2.0,2.0
27574.0,1.0,1.0
27575.0,0.0,1.0
27572.0,3.0,3.0
27572.0,3.0,4.0
27575.0,0.0,0.0
27572.0,3.0,4.0
27574.0,1.0,1.0
27572.0,3.0,3.0
27575.0,0.0,2.0
27574.0,1.0,1.0
27574.0,1.0,1.0
27573.0,2.0,2.0
27575.0,0.0,1.0
27573.0,2.0,2.0
27573.0,2.0,2.0
27572.0,3.0,5.0
27574.0,1.0,1.0
27575.0,0.0,0.0
27572.0,3.0,3.0
27572.0,3.0,4.0
27575.0,0.0,1.0
27572.0,3.0,3.0
27573.0,2.0,2.0
27575.0,0.0,1.0
27573.0,2.0,2.0
