similar,lost,noise
26979.0,596.0,851.0
26981.0,594.0,816.0
26967.0,608.0,835.0
26957.0,618.0,850.0
26993.0,582.0,820.0
26980.0,595.0,828.0
26941.0,634.0,869.0
26973.0,602.0,843.0
26946.0,629.0,883.0
26992.0,583.0,821.0
26947.0,628.0,874.0
26958.0,617.0,837.0
27014.0,561.0,790.0
26971.0,604.0,840.0
26964.0,611.0,828.0
26975.0,600.0,836.0
27002.0,573.0,828.0
26988.0,587.0,808.0
26966.0,609.0,850.0
26995.0,580.0,804.0
26979.0,596.0,841.0
26952.0,623.0,846.0
26950.0,625.0,873.0
26958.0,617.0,860.0
26926.0,649.0,869.0
26953.0,622.0,822.0
26967.0,608.0,824.0
26966.0,609.0,811.0
27006.0,569.0,812.0
26961.0,614.0,845.0
26968.0,607.0,831.0
26987.0,588.0,807.0
26998.0,577.0,823.0
26911.0,664.0,899.0
26966.0,609.0,838.0
26953.0,622.0,851.0
26956.0,619.0,839.0
26944.0,631.0,865.0
26963.0,612.0,840.0
26969.0,606.0,837.0
26967.0,608.0,835.0
26941.0,634.0,884.0
26953.0,622.0,842.0
26963.0,612.0,848.0
26989.0,586.0,831.0
26918.0,657.0,869.0
26933.0,642.0,903.0
26942.0,633.0,870.0
26972.0,603.0,841.0
26941.0,634.0,858.0
26981.0,594.0,820.0
26969.0,606.0,829.0
26975.0,600.0,828.0
26973.0,602.0,833.0
26979.0,596.0,826.0
26956.0,619.0,854.0
26933.0,642.0,881.0
26959.0,616.0,840.0
26940.0,635.0,864.0
27005.0,570.0,819.0
26944.0,631.0,874.0
26957.0,618.0,833.0
26995.0,580.0,826.0
26969.0,606.0,825.0
26992.0,583.0,824.0
26960.0,615.0,849.0
26933.0,642.0,883.0
26949.0,626.0,852.0
26999.0,576.0,815.0
26971.0,604.0,826.0
26959.0,616.0,827.0
26966.0,609.0,847.0
26939.0,636.0,861.0
26967.0,608.0,832.0
26945.0,630.0,875.0
26965.0,610.0,854.0
26939.0,636.0,863.0
26981.0,594.0,831.0
27002.0,573.0,829.0
26934.0,641.0,876.0
26959.0,616.0,841.0
27008.0,567.0,778.0
26961.0,614.0,838.0
26968.0,607.0,844.0
26990.0,585.0,804.0
26962.0,613.0,840.0
27005.0,570.0,800.0
26971.0,604.0,833.0
26962.0,613.0,838.0
26975.0,600.0,840.0
26952.0,623.0,864.0
26971.0,604.0,829.0
26946.0,629.0,872.0
26940.0,635.0,870.0
26947.0,628.0,868.0
26901.0,674.0,889.0
26929.0,646.0,885.0
26954.0,621.0,841.0
26962.0,613.0,850.0
26954.0,621.0,863.0
26963.0,612.0,852.0
27019.0,556.0,781.0
26957.0,618.0,848.0
26999.0,576.0,807.0
26965.0,610.0,835.0
26987.0,588.0,808.0
26968.0,607.0,835.0
26953.0,622.0,852.0
27003.0,572.0,812.0
26946.0,629.0,853.0
26954.0,621.0,851.0
26946.0,629.0,857.0
27017.0,558.0,806.0
26979.0,596.0,852.0
26967.0,608.0,830.0
26960.0,615.0,856.0
26959.0,616.0,862.0
26973.0,602.0,822.0
26983.0,592.0,825.0
26930.0,645.0,859.0
26963.0,612.0,832.0
