similar,lost,noise
27420.0,155.0,165.0
27424.0,151.0,160.0
27424.0,151.0,161.0
27419.0,156.0,170.0
27425.0,150.0,166.0
27414.0,161.0,172.0
27425.0,150.0,158.0
27423.0,152.0,164.0
27420.0,155.0,163.0
27417.0,158.0,175.0
27421.0,154.0,170.0
27426.0,149.0,166.0
27424.0,151.0,164.0
27415.0,160.0,172.0
27429.0,146.0,152.0
27428.0,147.0,160.0
27426.0,149.0,163.0
27430.0,145.0,151.0
27417.0,158.0,169.0
27428.0,147.0,156.0
27424.0,151.0,160.0
27414.0,161.0,178.0
27420.0,155.0,167.0
27427.0,148.0,161.0
27415.0,160.0,168.0
27422.0,153.0,165.0
27413.0,162.0,172.0
27420.0,155.0,166.0
27427.0,148.0,155.0
27426.0,149.0,156.0
27433.0,142.0,150.0
27416.0,159.0,176.0
27422.0,153.0,165.0
27422.0,153.0,163.0
27416.0,159.0,171.0
27419.0,156.0,166.0
27422.0,153.0,166.0
27417.0,158.0,168.0
27422.0,153.0,169.0
27413.0,162.0,170.0
27407.0,168.0,175.0
27426.0,149.0,154.0
27422.0,153.0,161.0
27420.0,155.0,167.0
27414.0,161.0,173.0
27427.0,148.0,161.0
27424.0,151.0,165.0
27423.0,152.0,164.0
27416.0,159.0,171.0
27429.0,146.0,155.0
27429.0,146.0,157.0
27425.0,150.0,164.0
27423.0,152.0,168.0
27413.0,162.0,175.0
27416.0,159.0,172.0
27426.0,149.0,158.0
27420.0,155.0,172.0
27419.0,156.0,168.0
27415.0,160.0,177.0
27420.0,155.0,170.0
27419.0,156.0,167.0
27431.0,144.0,155.0
27420.0,155.0,161.0
27427.0,148.0,161.0
27421.0,154.0,162.0
27424.0,151.0,163.0
27416.0,159.0,170.0
27421.0,154.0,164.0
27418.0,157.0,165.0
27422.0,153.0,163.0
27422.0,153.0,163.0
27424.0,151.0,159.0
27425.0,150.0,159.0
27420.0,155.0,169.0
27424.0,151.0,157.0
27412.0,163.0,174.0
27425.0,150.0,161.0
27426.0,149.0,158.0
27421.0,154.0,160.0
27426.0,149.0,162.0
27420.0,155.0,173.0
27416.0,159.0,168.0
27431.0,144.0,152.0
27425.0,150.0,158.0
27425.0,150.0,158.0
27420.0,155.0,167.0
27425.0,150.0,158.0
27416.0,159.0,168.0
27421.0,154.0,159.0
27424.0,151.0,163.0
27426.0,149.0,162.0
27423.0,152.0,163.0
27422.0,153.0,164.0
27415.0,160.0,175.0
27430.0,145.0,154.0
27431.0,144.0,153.0
27425.0,150.0,162.0
27414.0,161.0,174.0
27415.0,160.0,171.0
27429.0,146.0,157.0
27429.0,146.0,160.0
27428.0,147.0,155.0
27421.0,154.0,171.0
27423.0,152.0,167.0
27425.0,150.0,157.0
27417.0,158.0,170.0
27428.0,147.0,159.0
27420.0,155.0,165.0
27417.0,158.0,166.0
27432.0,143.0,148.0
27406.0,169.0,183.0
27429.0,146.0,158.0
27422.0,153.0,163.0
27428.0,147.0,159.0
27417.0,158.0,169.0
27421.0,154.0,170.0
27416.0,159.0,171.0
27417.0,158.0,170.0
27416.0,159.0,169.0
27416.0,159.0,168.0
27421.0,154.0,167.0
