similar,lost,noise
22953.0,4622.0,59.0
22941.0,4634.0,59.0
22944.0,4631.0,59.0
22940.0,4635.0,58.0
22959.0,4616.0,58.0
22956.0,4619.0,60.0
22947.0,4628.0,60.0
22954.0,4621.0,58.0
22946.0,4629.0,59.0
22945.0,4630.0,61.0
22937.0,4638.0,60.0
22941.0,4634.0,61.0
22955.0,4620.0,60.0
22950.0,4625.0,61.0
22950.0,4625.0,60.0
22941.0,4634.0,59.0
22949.0,4626.0,57.0
22951.0,4624.0,59.0
22955.0,4620.0,61.0
22947.0,4628.0,59.0
22939.0,4636.0,60.0
22968.0,4607.0,59.0
22949.0,4626.0,60.0
22940.0,4635.0,60.0
22940.0,4635.0,61.0
22931.0,4644.0,61.0
22937.0,4638.0,60.0
22947.0,4628.0,59.0
22953.0,4622.0,59.0
22941.0,4634.0,59.0
22946.0,4629.0,59.0
22948.0,4627.0,59.0
22955.0,4620.0,59.0
22944.0,4631.0,58.0
22960.0,4615.0,60.0
22939.0,4636.0,60.0
22949.0,4626.0,59.0
22946.0,4629.0,59.0
22947.0,4628.0,60.0
22969.0,4606.0,60.0
22937.0,4638.0,60.0
22949.0,4626.0,59.0
22949.0,4626.0,58.0
22954.0,4621.0,59.0
22958.0,4617.0,60.0
22972.0,4603.0,61.0
22939.0,4636.0,59.0
22959.0,4616.0,60.0
22935.0,4640.0,61.0
22948.0,4627.0,60.0
22959.0,4616.0,60.0
22948.0,4627.0,60.0
22962.0,4613.0,59.0
22954.0,4621.0,59.0
22962.0,4613.0,60.0
22939.0,4636.0,60.0
22944.0,4631.0,60.0
22950.0,4625.0,59.0
22944.0,4631.0,59.0
22939.0,4636.0,59.0
22943.0,4632.0,60.0
22955.0,4620.0,59.0
22935.0,4640.0,59.0
22950.0,4625.0,60.0
22943.0,4632.0,61.0
22958.0,4617.0,59.0
22956.0,4619.0,59.0
22936.0,4639.0,59.0
22950.0,4625.0,60.0
22942.0,4633.0,59.0
22947.0,4628.0,60.0
22940.0,4635.0,60.0
22946.0,4629.0,59.0
22948.0,4627.0,61.0
22961.0,4614.0,58.0
22945.0,4630.0,60.0
22956.0,4619.0,60.0
22946.0,4629.0,58.0
22941.0,4634.0,60.0
22954.0,4621.0,59.0
22952.0,4623.0,60.0
22947.0,4628.0,59.0
22944.0,4631.0,60.0
22947.0,4628.0,60.0
22961.0,4614.0,59.0
22944.0,4631.0,58.0
22935.0,4640.0,59.0
22932.0,4643.0,59.0
22944.0,4631.0,60.0
22961.0,4614.0,60.0
22957.0,4618.0,60.0
22940.0,4635.0,60.0
22943.0,4632.0,59.0
22961.0,4614.0,59.0
22953.0,4622.0,59.0
22961.0,4614.0,59.0
22961.0,4614.0,60.0
22952.0,4623.0,61.0
22951.0,4624.0,59.0
22932.0,4643.0,60.0
22951.0,4624.0,60.0
22954.0,4621.0,59.0
22948.0,4627.0,61.0
22946.0,4629.0,60.0
22944.0,4631.0,60.0
22940.0,4635.0,57.0
22960.0,4615.0,59.0
22930.0,4645.0,60.0
22944.0,4631.0,60.0
22949.0,4626.0,59.0
22937.0,4638.0,59.0
22941.0,4634.0,60.0
22961.0,4614.0,58.0
22938.0,4637.0,60.0
22946.0,4629.0,58.0
22946.0,4629.0,59.0
22949.0,4626.0,59.0
22936.0,4639.0,59.0
22944.0,4631.0,58.0
22955.0,4620.0,60.0
22938.0,4637.0,60.0
