Type,Mean,Min,Max
Mean Values,0.7484698754549026,0.7484579086303711,0.7484837770462036
Min Values,0.6116958272457123,0.6115946769714355,0.6117913722991943
Max Values,0.9235000878572464,0.922078549861908,0.9249411225318909
