similar,lost,noise
27542.0,33.0,46.0
27538.0,37.0,47.0
27548.0,27.0,35.0
27553.0,22.0,26.0
27557.0,18.0,30.0
27539.0,36.0,47.0
27551.0,24.0,33.0
27553.0,22.0,32.0
27546.0,29.0,39.0
27551.0,24.0,30.0
27544.0,31.0,37.0
27539.0,36.0,43.0
27546.0,29.0,36.0
27537.0,38.0,57.0
27546.0,29.0,39.0
27547.0,28.0,40.0
27548.0,27.0,33.0
27545.0,30.0,39.0
27541.0,34.0,39.0
27538.0,37.0,50.0
27549.0,26.0,37.0
27548.0,27.0,42.0
27552.0,23.0,38.0
27547.0,28.0,38.0
27551.0,24.0,35.0
27547.0,28.0,43.0
27546.0,29.0,42.0
27547.0,28.0,42.0
27547.0,28.0,36.0
27558.0,17.0,34.0
27555.0,20.0,30.0
27542.0,33.0,44.0
27541.0,34.0,47.0
27543.0,32.0,46.0
27547.0,28.0,33.0
27549.0,26.0,37.0
27545.0,30.0,43.0
27538.0,37.0,47.0
27554.0,21.0,30.0
27560.0,15.0,27.0
27545.0,30.0,38.0
27553.0,22.0,33.0
27540.0,35.0,44.0
27545.0,30.0,47.0
27544.0,31.0,41.0
27547.0,28.0,35.0
27543.0,32.0,38.0
27550.0,25.0,30.0
27554.0,21.0,30.0
27548.0,27.0,37.0
27542.0,33.0,47.0
27545.0,30.0,33.0
27551.0,24.0,35.0
27555.0,20.0,34.0
27553.0,22.0,37.0
27555.0,20.0,32.0
27546.0,29.0,34.0
27552.0,23.0,45.0
27549.0,26.0,37.0
27547.0,28.0,50.0
27557.0,18.0,34.0
27551.0,24.0,36.0
27544.0,31.0,40.0
27550.0,25.0,38.0
27545.0,30.0,41.0
27545.0,30.0,44.0
27556.0,19.0,30.0
27537.0,38.0,51.0
27535.0,40.0,49.0
27546.0,29.0,41.0
27549.0,26.0,36.0
27545.0,30.0,40.0
27547.0,28.0,42.0
27546.0,29.0,38.0
27541.0,34.0,48.0
27553.0,22.0,36.0
27537.0,38.0,49.0
27548.0,27.0,38.0
27550.0,25.0,37.0
27554.0,21.0,34.0
27553.0,22.0,30.0
27554.0,21.0,33.0
27549.0,26.0,35.0
27556.0,19.0,30.0
27549.0,26.0,36.0
27547.0,28.0,38.0
27539.0,36.0,43.0
27553.0,22.0,29.0
27559.0,16.0,33.0
27554.0,21.0,30.0
27551.0,24.0,39.0
27555.0,20.0,33.0
27553.0,22.0,37.0
27543.0,32.0,43.0
27544.0,31.0,43.0
27550.0,25.0,32.0
27540.0,35.0,62.0
27546.0,29.0,36.0
27551.0,24.0,35.0
27555.0,20.0,31.0
27545.0,30.0,36.0
27546.0,29.0,32.0
27554.0,21.0,37.0
27544.0,31.0,41.0
27550.0,25.0,33.0
27551.0,24.0,40.0
27555.0,20.0,34.0
27543.0,32.0,42.0
27551.0,24.0,34.0
27558.0,17.0,32.0
27548.0,27.0,36.0
27545.0,30.0,44.0
27552.0,23.0,35.0
27543.0,32.0,40.0
27542.0,33.0,39.0
27548.0,27.0,42.0
27547.0,28.0,40.0
27550.0,25.0,38.0
27558.0,17.0,28.0
27554.0,21.0,32.0
27540.0,35.0,40.0
