similar,lost,noise
25185.0,2390.0,3599.0
25133.0,2442.0,3651.0
25158.0,2417.0,3626.0
25164.0,2411.0,3620.0
25191.0,2384.0,3593.0
25136.0,2439.0,3648.0
25092.0,2483.0,3692.0
25189.0,2386.0,3595.0
25233.0,2342.0,3551.0
25076.0,2499.0,3708.0
25128.0,2447.0,3656.0
25187.0,2388.0,3597.0
25210.0,2365.0,3574.0
25165.0,2410.0,3619.0
25076.0,2499.0,3708.0
25188.0,2387.0,3596.0
25167.0,2408.0,3617.0
25105.0,2470.0,3679.0
25198.0,2377.0,3586.0
25157.0,2418.0,3627.0
25099.0,2476.0,3685.0
25145.0,2430.0,3639.0
25091.0,2484.0,3693.0
25219.0,2356.0,3565.0
25092.0,2483.0,3692.0
25233.0,2342.0,3551.0
25155.0,2420.0,3629.0
25207.0,2368.0,3577.0
25198.0,2377.0,3586.0
25159.0,2416.0,3625.0
25113.0,2462.0,3671.0
25169.0,2406.0,3615.0
25180.0,2395.0,3604.0
25227.0,2348.0,3557.0
25213.0,2362.0,3571.0
25210.0,2365.0,3574.0
25132.0,2443.0,3652.0
25108.0,2467.0,3676.0
25161.0,2414.0,3623.0
25126.0,2449.0,3658.0
25096.0,2479.0,3688.0
25142.0,2433.0,3642.0
25167.0,2408.0,3617.0
25126.0,2449.0,3658.0
25138.0,2437.0,3646.0
25187.0,2388.0,3597.0
25201.0,2374.0,3583.0
25206.0,2369.0,3578.0
25180.0,2395.0,3604.0
25120.0,2455.0,3664.0
25133.0,2442.0,3651.0
25210.0,2365.0,3574.0
25146.0,2429.0,3638.0
25186.0,2389.0,3598.0
25159.0,2416.0,3625.0
25152.0,2423.0,3632.0
25190.0,2385.0,3594.0
25142.0,2433.0,3642.0
25125.0,2450.0,3659.0
25231.0,2344.0,3553.0
25251.0,2324.0,3533.0
25136.0,2439.0,3648.0
25187.0,2388.0,3597.0
25106.0,2469.0,3678.0
25165.0,2410.0,3619.0
25090.0,2485.0,3694.0
25166.0,2409.0,3618.0
25263.0,2312.0,3521.0
25134.0,2441.0,3650.0
25161.0,2414.0,3623.0
25163.0,2412.0,3621.0
25225.0,2350.0,3559.0
25130.0,2445.0,3654.0
25131.0,2444.0,3653.0
25143.0,2432.0,3641.0
25126.0,2449.0,3658.0
25166.0,2409.0,3618.0
25198.0,2377.0,3586.0
25163.0,2412.0,3621.0
25259.0,2316.0,3525.0
25166.0,2409.0,3618.0
25149.0,2426.0,3635.0
25132.0,2443.0,3652.0
25143.0,2432.0,3641.0
25261.0,2314.0,3523.0
25143.0,2432.0,3641.0
25163.0,2412.0,3621.0
25253.0,2322.0,3531.0
25231.0,2344.0,3553.0
25111.0,2464.0,3673.0
25160.0,2415.0,3624.0
25150.0,2425.0,3634.0
25120.0,2455.0,3664.0
25180.0,2395.0,3604.0
25187.0,2388.0,3597.0
25084.0,2491.0,3700.0
25190.0,2385.0,3594.0
25152.0,2423.0,3632.0
25185.0,2390.0,3599.0
25215.0,2360.0,3569.0
25160.0,2415.0,3624.0
25158.0,2417.0,3626.0
25247.0,2328.0,3537.0
25123.0,2452.0,3661.0
25241.0,2334.0,3543.0
25061.0,2514.0,3723.0
25165.0,2410.0,3619.0
25215.0,2360.0,3569.0
25155.0,2420.0,3629.0
25126.0,2449.0,3658.0
25123.0,2452.0,3661.0
25092.0,2483.0,3692.0
25172.0,2403.0,3612.0
25121.0,2454.0,3663.0
25133.0,2442.0,3651.0
25185.0,2390.0,3599.0
25176.0,2399.0,3608.0
25170.0,2405.0,3614.0
25185.0,2390.0,3599.0
25135.0,2440.0,3649.0
25169.0,2406.0,3615.0
