similar,lost,noise
27336.0,239.0,288.0
27326.0,249.0,298.0
27332.0,243.0,297.0
27322.0,253.0,310.0
27350.0,225.0,282.0
27328.0,247.0,303.0
27334.0,241.0,291.0
27325.0,250.0,308.0
27302.0,273.0,317.0
27337.0,238.0,299.0
27347.0,228.0,279.0
27327.0,248.0,298.0
27360.0,215.0,268.0
27331.0,244.0,299.0
27323.0,252.0,314.0
27353.0,222.0,276.0
27336.0,239.0,283.0
27328.0,247.0,295.0
27332.0,243.0,306.0
27321.0,254.0,305.0
27336.0,239.0,285.0
27323.0,252.0,312.0
27319.0,256.0,312.0
27328.0,247.0,288.0
27341.0,234.0,285.0
27325.0,250.0,314.0
27339.0,236.0,274.0
27336.0,239.0,284.0
27356.0,219.0,265.0
27343.0,232.0,277.0
27335.0,240.0,294.0
27335.0,240.0,311.0
27343.0,232.0,299.0
27333.0,242.0,293.0
27321.0,254.0,307.0
27340.0,235.0,292.0
27304.0,271.0,317.0
27333.0,242.0,310.0
27343.0,232.0,294.0
27340.0,235.0,294.0
27328.0,247.0,300.0
27349.0,226.0,288.0
27333.0,242.0,291.0
27318.0,257.0,315.0
27349.0,226.0,282.0
27345.0,230.0,284.0
27328.0,247.0,283.0
27338.0,237.0,292.0
27333.0,242.0,300.0
27328.0,247.0,301.0
27343.0,232.0,290.0
27341.0,234.0,294.0
27344.0,231.0,276.0
27333.0,242.0,294.0
27330.0,245.0,295.0
27341.0,234.0,296.0
27307.0,268.0,318.0
27332.0,243.0,284.0
27346.0,229.0,291.0
27329.0,246.0,294.0
27314.0,261.0,310.0
27335.0,240.0,294.0
27352.0,223.0,290.0
27331.0,244.0,313.0
27323.0,252.0,303.0
27337.0,238.0,292.0
27310.0,265.0,318.0
27338.0,237.0,275.0
27331.0,244.0,298.0
27341.0,234.0,287.0
27331.0,244.0,313.0
27326.0,249.0,306.0
27335.0,240.0,288.0
27348.0,227.0,284.0
27317.0,258.0,308.0
27320.0,255.0,312.0
27326.0,249.0,301.0
27336.0,239.0,289.0
27347.0,228.0,283.0
27330.0,245.0,295.0
27316.0,259.0,317.0
27333.0,242.0,303.0
27349.0,226.0,275.0
27322.0,253.0,324.0
27317.0,258.0,318.0
27333.0,242.0,283.0
27337.0,238.0,288.0
27314.0,261.0,310.0
27330.0,245.0,294.0
27315.0,260.0,322.0
27327.0,248.0,284.0
27349.0,226.0,277.0
27338.0,237.0,293.0
27335.0,240.0,288.0
27321.0,254.0,308.0
27319.0,256.0,315.0
27336.0,239.0,288.0
27326.0,249.0,304.0
27329.0,246.0,316.0
27332.0,243.0,305.0
27337.0,238.0,308.0
27324.0,251.0,307.0
27329.0,246.0,302.0
27334.0,241.0,289.0
27328.0,247.0,310.0
27321.0,254.0,321.0
27354.0,221.0,268.0
27322.0,253.0,306.0
27340.0,235.0,301.0
27326.0,249.0,298.0
27338.0,237.0,297.0
27304.0,271.0,323.0
27342.0,233.0,280.0
27353.0,222.0,274.0
27339.0,236.0,284.0
27322.0,253.0,307.0
27342.0,233.0,291.0
27326.0,249.0,291.0
27331.0,244.0,292.0
27343.0,232.0,287.0
27313.0,262.0,334.0
